"Testvector";"Feature Group";"Feature";"Testcase";"URL";"Play";"description";"source";"profile";"duration";"mpd_type";"min_update_period";"time_shift_buffer_depth";"num_periods";"max_num_video";"max_num_audio";"multi_resolution_video";"max_video_resolution";"mime_types";"video_codec";"audio_codec";"segment_template";"segment_template_number";"segment_template_time";"segment_template_duration";"segment_timeline";"content_protection_schemeid_uri";"cenc_pssh";"essential_property_schemeid_uri";"base_url";"segment_template_presentation_timeoffset";"urn_mpeg_dash_period_continuity_2014";"utc_timing_schemeid_uri";"inband_event_stream_schemeid_uri";"early_terminated_period";"period_xlink_href";"period_xlink_actuate";"default_content";"asset_identifier";"Bit Depth"
"Test Vector 1 ";"TestCasesIOP33";"User cases for multiple periods";"Different segment duration";"http://dash.edgesuite.net/dash264/TestCasesIOP33/multiplePeriods/4/manifest_multiple_Periods_Different_SegmentDuration.mpd";"""http://reference.dashif.org/dash.js/latest/samples/dash-if-reference-player/index.html?mpd=http://dash.edgesuite.net/dash264/TestCasesIOP33/multiplePeriods/4/manifest_multiple_Periods_Different_SegmentDuration.mpd""";"Three periods content offering. The segment duration changes across these three different periods. ";"Tears of steel.";"urn:mpeg:dash:profile:isoff-live:2011,http://dashif.org/guidelines/dash264";"PT0H12M14.167S";"static";"x";"x";"3";"2";"1";"";"1920x1080";"video/mp4,audio/mp4";"avc1.640028";"mp4a.40.2";"yes";"yes";"no";"24576,95232,12288,47104";"";"x";"no";"x";"";"x";"";"x";"x";"no";"no";"x";"no";"no";"8 (unknown)"
"Test Vector 1 ";"TestCasesIOP33";"POSIX prefix";"Play from a specified time";"http://vm2.dashif.org/livesim/testpic_2s/Manifest.mpd#t=posix:1465406946";"""http://reference.dashif.org/dash.js/latest/samples/dash-if-reference-player/index.html?mpd=http://vm2.dashif.org/livesim/testpic_2s/Manifest.mpd#t=posix:1465406946""";"Play content from the specified posix prefix time.";"Live simulator content.";"urn:mpeg:dash:profile:isoff-live:2011,http://dashif.org/guidelines/dash-if-simple";"x";"dynamic";"P100Y";"PT5M";"1";"1";"1";"";"640x360";"audio/mp4,video/mp4";"avc1.64001e";"mp4a.40.2";"yes";"yes";"no";"2";"";"x";"no";"x";"";"x";"";"x";"x";"no";"no";"x";"no";"no";"8 (unknown)"
"Test Vector 1";"TestCasesIOP40";"UTC Timing";"UTC-Direct ";"http://vm2.dashif.org/livesim/utc_direct/testpic_2s/Manifest.mpd";"""http://reference.dashif.org/dash.js/latest/samples/dash-if-reference-player/index.html?mpd=http://vm2.dashif.org/livesim/utc_direct/testpic_2s/Manifest.mpd""";"Test vector for UTC timing 1";"Dash live source simulator";"urn:mpeg:dash:profile:isoff-live:2011,http://dashif.org/guidelines/dash-if-simple";"x";"dynamic";"P100Y";"PT5M";"1";"1";"1";"";"640x360";"audio/mp4,video/mp4";"avc1.64001e";"mp4a.40.2";"yes";"yes";"no";"2";"";"x";"no";"x";"";"x";"";"urn:mpeg:dash:utc:direct:2014";"x";"no";"no";"x";"no";"no";"8 (unknown)"
"Test Vector 1";"TestCasesIOP40";"UTC Timing";"UTC-HTTP-SNTP";"http://vm2.dashif.org/livesim/utc_sntp/testpic_2s/Manifest.mpd";"""http://reference.dashif.org/dash.js/latest/samples/dash-if-reference-player/index.html?mpd=http://vm2.dashif.org/livesim/utc_sntp/testpic_2s/Manifest.mpd""";"Test vector for UTC timing sntp";"Dash live source simulator";"urn:mpeg:dash:profile:isoff-live:2011,http://dashif.org/guidelines/dash-if-simple";"x";"dynamic";"P100Y";"PT5M";"1";"1";"1";"";"640x360";"audio/mp4,video/mp4";"avc1.64001e";"mp4a.40.2";"yes";"yes";"no";"2";"";"x";"no";"x";"";"x";"";"urn:mpeg:dash:utc:sntp:2014";"x";"no";"no";"x";"no";"no";"8 (unknown)"
"Test Vector 1 ";"TestCasesIOP40";"UTC Timing";"UTC-HTTP-HEAD";"http://vm2.dashif.org/livesim/utc_head/testpic_2s/Manifest.mpd";"""http://reference.dashif.org/dash.js/latest/samples/dash-if-reference-player/index.html?mpd=http://vm2.dashif.org/livesim/utc_head/testpic_2s/Manifest.mpd""";"Test vector with UTC-head timing type";"Dash live source simulator";"urn:mpeg:dash:profile:isoff-live:2011,http://dashif.org/guidelines/dash-if-simple";"x";"dynamic";"P100Y";"PT5M";"1";"1";"1";"";"640x360";"audio/mp4,video/mp4";"avc1.64001e";"mp4a.40.2";"yes";"yes";"no";"2";"";"x";"no";"x";"";"x";"";"urn:mpeg:dash:utc:http-head:2014";"x";"no";"no";"x";"no";"no";"8 (unknown)"
"Test Vector 1 ";"TestCasesIOP40";"UTC Timing";"UTC-HTTP-NTP";"http://vm2.dashif.org/livesim/utc_ntp/testpic_2s/Manifest.mpd";"""http://reference.dashif.org/dash.js/latest/samples/dash-if-reference-player/index.html?mpd=http://vm2.dashif.org/livesim/utc_ntp/testpic_2s/Manifest.mpd""";"Test vector for UTC timing with npt";"Dash live source simulator";"urn:mpeg:dash:profile:isoff-live:2011,http://dashif.org/guidelines/dash-if-simple";"x";"dynamic";"P100Y";"PT5M";"1";"1";"1";"";"640x360";"audio/mp4,video/mp4";"avc1.64001e";"mp4a.40.2";"yes";"yes";"no";"2";"";"x";"no";"x";"";"x";"";"urn:mpeg:dash:utc:ntp:2014";"x";"no";"no";"x";"no";"no";"8 (unknown)"
"Alternate content live profile";"TestCasesIOP41";"MultiTrack Content Offering";"Alternate content offering";"http://dash.akamaized.net/dash264/TestCasesIOP41/MultiTrack/alternative_content/1/manifest_alternative_content_live.mpd";"""http://reference.dashif.org/dash.js/latest/samples/dash-if-reference-player/index.html?mpd=http://dash.akamaized.net/dash264/TestCasesIOP41/MultiTrack/alternative_content/1/manifest_alternative_content_live.mpd""";"Main (HEVC) and alternate (AVC) video content offered in different AdaptationSets. ";"";"urn:mpeg:dash:profile:isoff-live:2011,http://dashif.org/guidelines/dash264";"PT0H12M14.167S";"static";"x";"x";"1";"2";"1";"";"1920x1080";"video/mp4,audio/mp4";"hev1.1.6.L120.90,avc1.640028";"mp4a.40.2";"yes";"yes";"no";"24576,95232";"";"x";"no";"x";"";"x";"";"x";"x";"no";"no";"x";"no";"no";"8"
"Alternate content OnDemand profile";"TestCasesIOP41";"MultiTrack Content Offering";"Alternate content offering";"http://dash.akamaized.net/dash264/TestCasesIOP41/MultiTrack/alternative_content/2/manifest_alternative_content_ondemand.mpd";"""http://reference.dashif.org/dash.js/latest/samples/dash-if-reference-player/index.html?mpd=http://dash.akamaized.net/dash264/TestCasesIOP41/MultiTrack/alternative_content/2/manifest_alternative_content_ondemand.mpd""";"Main (HEVC 10 bit) and alternate (HEVC 8 bit) video content offered in different AdaptationSets";"";"urn:mpeg:dash:profile:isoff-on-demand:2011,http://dashif.org/guidelines/dash-if-main,http://dashif.org/guidelines/dash-if-simple";"PT0H12M14.167S";"static";"x";"x";"1";"2";"1";"";"1920x1080";"video/mp4,audio/mp4";"hvc1.2.4.L93.90,hvc1.2.4.L120.90,hvc1.1.6.L93.90,hvc1.1.6.L120.90";"mp4a.40.2";"no";"x";"x";"x";"";"x";"no";"x";"";"x";"";"x";"x";"no";"no";"x";"no";"no";"8"
"Associate contents live profile";"TestCasesIOP41";"MultiTrack Content Offering";"Associate Content Offering";"http://dash.akamaized.net/dash264/TestCasesIOP41/MultiTrack/associative_content/1/manifest_associated_content_live.mpd";"""http://reference.dashif.org/dash.js/latest/samples/dash-if-reference-player/index.html?mpd=http://dash.akamaized.net/dash264/TestCasesIOP41/MultiTrack/associative_content/1/manifest_associated_content_live.mpd""";"Alternate video content is associated with alternate audio content";"";"urn:mpeg:dash:profile:isoff-live:2011,http://dashif.org/guidelines/dash264";"PT0H12M14.167S";"static";"x";"x";"1";"2";"1";"";"1920x1080";"video/mp4,audio/mp4";"hev1.1.6.L120.90,avc1.640028";"mp4a.40.2,mp4a.40.5";"yes";"yes";"no";"24576,95232,96000";"";"x";"no";"x";"";"x";"";"x";"x";"no";"no";"x";"no";"no";"8 (unknown)"
"Last video segment removed-live profile ";"TestCasesIOP41";"Last-segment signalling";"Last segment number";"http://dash.akamaized.net/dash264/TestCasesIOP41/LastSegmentNumber/1/manifest_last_segment_num.mpd";"""http://reference.dashif.org/dash.js/latest/samples/dash-if-reference-player/index.html?mpd=http://dash.akamaized.net/dash264/TestCasesIOP41/LastSegmentNumber/1/manifest_last_segment_num.mpd""";"Last video segment is removed and the missing number is signaled through SupplementalProperty @value";"";"urn:mpeg:dash:profile:isoff-live:2011,http://dashif.org/guidelines/dash264";"PT0H12M14.167S";"static";"x";"x";"1";"2";"1";"";"1920x1080";"video/mp4,audio/mp4";"avc1.640028";"mp4a.40.2";"yes";"yes";"no";"24576,95232";"";"x";"no";"x";"";"x";"";"x";"x";"no";"no";"x";"no";"no";"8"
"Dolby Vision Dual-layer Test";"UHD (4k, HDR, HFR)";"UHD HDR";"Dolby Vision Dual-layer Test";"http://dash.edgesuite.net/dash264/TestCasesMCA/dolby/6/DashIf-HDR10_UHD.mpd ";"""http://reference.dashif.org/dash.js/latest/samples/dash-if-reference-player/index.html?mpd=http://dash.edgesuite.net/dash264/TestCasesMCA/dolby/6/DashIf-HDR10_UHD.mpd """;"Dolby Vision Dual-layer test";"";"urn:mpeg:dash:profile:isoff-on-demand:2011";"PT0H0M20.000S";"static";"x";"x";"1";"2";"0";"";"3840x2160";"video/mp4";"hev1.2.4.H153.b0,dvhe.07.03";"x";"no";"x";"x";"x";"";"x";"no";"x";"";"x";"";"x";"x";"no";"no";"x";"no";"no";"8 (unknown)"
"Dolby Vision Dual-layer Test (SDR)";"UHD (4k, HDR, HFR)";"UHD HDR";"Dolby Vision Dual-layer Test";"http://dash.edgesuite.net/dash264/TestCasesMCA/dolby/6/DashIf-SDR_UHD.mpd ";"""http://reference.dashif.org/dash.js/latest/samples/dash-if-reference-player/index.html?mpd=http://dash.edgesuite.net/dash264/TestCasesMCA/dolby/6/DashIf-SDR_UHD.mpd """;"Dolby Vision Dual-layer test (SDR)";"";"urn:mpeg:dash:profile:isoff-on-demand:2011";"PT0H0M19.958S";"static";"x";"x";"1";"2";"0";"";"3840x2160";"video/mp4";"hev1.2.4.L153.b0,dvhe.07.03";"x";"no";"x";"x";"x";"";"x";"no";"x";"";"x";"";"x";"x";"no";"no";"x";"no";"no";"8 (unknown)"
"VP9 2-stream, single resolution adaptive";"VP9";"VP9 Adaptive";"VP9 Adaptation";"https://dash.akamaized.net/dash264/TestCasesVP9/vp9-hd-adaptive/sintel-vp9-hd-adaptive.mpd";"""https://reference.dashif.org/dash.js/latest/samples/dash-if-reference-player/index.html?mpd=https://dash.akamaized.net/dash264/TestCasesVP9/vp9-hd-adaptive/sintel-vp9-hd-adaptive.mpd""";"VP9 adaptive streaming with two HD-SDR streams";"";"urn:mpeg:dash:profile:isoff-on-demand:2011,http://dashif.org/guidelines/dashif#vp9";"30s";"";"";"";"1";"";"";"";"";"video/mp4";"vp9";"";"";"";"";"";"";"";"";"";"sintel-vp9-hd-4000k.mp4, sintel-vp9-hd-10000k.mp4";"";"";"";"";"";"";"";"";"";"8"
"VP9 HD VOD";"VP9";"VP9 HD";"VP9 HD VOD";"https://dash.akamaized.net/dash264/TestCasesVP9/vp9-hd/sintel-vp9-hd.mpd";"""https://reference.dashif.org/dash.js/latest/samples/dash-if-reference-player/index.html?mpd=https://dash.akamaized.net/dash264/TestCasesVP9/vp9-hd/sintel-vp9-hd.mpd""";"Single Stream VP9 HD SDR test vector";"";"urn:mpeg:dash:profile:isoff-on-demand:2011,http://dashif.org/guidelines/dashif#vp9";"30s";"static";"";"";"1";"";"";"";"";"video/mp4";"VP9";"";"";"";"";"";"";"";"";"";"sintel-vp9-hd.mp4";"";"";"";"";"";"";"";"";"";"8"
"VP9 HD-HDR10 VOD";"VP9";"VP9 HD-HDR";"VP9 HD-HDR10 VOD";"https://dash.akamaized.net/dash264/TestCasesVP9/vp9-hd-hdr/sintel-vp9-hd-hdr.mpd";"""https://reference.dashif.org/dash.js/latest/samples/dash-if-reference-player/index.html?mpd=https://dash.akamaized.net/dash264/TestCasesVP9/vp9-hd-hdr/sintel-vp9-hd-hdr.mpd""";"";"";"urn:mpeg:dash:profile:isoff-on-demand:2011,http://dashif.org/guidelines/dashif#vp9-hdr";"30s";"static";"";"";"1";"";"";"";"";"video/mp4";"vp9";"";"";"";"";"";"";"";"";"";"sintel-vp9-hd-hdr.mp4";"";"";"";"";"";"";"";"";"";"10"
"VP9 HD-SDR encryption with Common PSSH";"VP9";"VP9 Encryption";"VP9 Encryption";"https://dash.akamaized.net/dash264/TestCasesVP9/vp9-hd-encrypted/sintel-vp9-hd-encrypted.mpd";"""https://reference.dashif.org/dash.js/latest/samples/dash-if-reference-player/index.html?mpd=https://dash.akamaized.net/dash264/TestCasesVP9/vp9-hd-encrypted/sintel-vp9-hd-encrypted.mpd""";"Encrypted VP9 test using HD-SDR video and Common PSSH.  Keys included in VP Encryption test case.";"";"urn:mpeg:dash:profile:isoff-on-demand:2011,http://dashif.org/guidelines/dashif#vp9";"30s";"static";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"urn:uuid:1077efec-c0b2-4d02-ace3-3c1e52e2fb4b";"AAAANHBzc2gBAAAAEHfv7MCyTQKs4zweUuL7SwAAAAEAAAAAAAAAAAAAAAAAAAABAAAAAA==";"";"sintel-vp9-hd-encrypted.mp4";"";"";"";"";"";"";"";"";"";"8"
"VP9 UHD VOD";"VP9";"VP9 UHD";"VP9 UHD VOD";"https://dash.akamaized.net/dash264/TestCasesVP9/vp9-uhd/sintel-vp9-uhd.mpd";"""https://reference.dashif.org/dash.js/latest/samples/dash-if-reference-player/index.html?mpd=https://dash.akamaized.net/dash264/TestCasesVP9/vp9-uhd/sintel-vp9-uhd.mpd""";"Single Stream VP9 UHD SDR test vector";"";"urn:mpeg:dash:profile:isoff-on-demand:2011,http://dashif.org/guidelines/dash-if-uhd#vp9";"30s";"static";"";"";"";"";"";"";"";"video/mp4";"";"";"";"";"";"";"";"";"";"";"sintel-vp9-uhd.mp4";"";"";"";"";"";"";"";"";"";"8"
"VP9 UHD-HDR10 VOD";"VP9";"VP9 UHD-HDR";"VP9 UHD-HDR10 VOD";"https://dash.akamaized.net/dash264/TestCasesVP9/vp9-uhd-hdr/sintel-vp9-uhd-hdr.mpd";"""https://reference.dashif.org/dash.js/latest/samples/dash-if-reference-player/index.html?mpd=https://dash.akamaized.net/dash264/TestCasesVP9/vp9-uhd-hdr/sintel-vp9-uhd-hdr.mpd""";"Single Stream VP9 UHD HDR10 test vector";"";"urn:mpeg:dash:profile:isoff-on-demand:2011,http://dashif.org/guidelines/dash-if-uhd#vp9-hdr";"30s";"";"";"";"1";"";"";"";"";"video/mp4";"VP9";"";"";"";"";"";"";"";"";"";"sintel-vp9-uhd-hdr.mp4";"";"";"";"";"";"";"";"";"";"10"
